subscriber_id,age,country,profession_segment,plan_type,monthly_price_usd,tenure_months,auto_renew_enabled,days_until_renewal,payment_method,weekly_learning_hours,sessions_per_week,avg_session_duration_minutes,days_since_last_login,courses_started,courses_completed,active_courses_count,avg_course_progress_pct,certificates_earned,quiz_attempts_last_30d,assignment_submissions_last_30d,forum_posts_last_30d,payment_failures_last_6m,refund_requests_last_12m,support_tickets_last_90d,avg_support_resolution_hours,email_open_rate,recommendation_click_rate,churn_label
SUB_000001,22,Germany,data_analyst,standard,26.73,21,1,9,bank_transfer,3.2,2,43.3,19,2,0,2,51.6,0,3,4,2,0,0,0,1.7,0.671,0.334,0
SUB_000002,24,Brazil,marketing,basic,11.46,8,0,28,upi,4.5,1,20.4,15,2,0,2,25.4,0,14,1,0,0,1,1,30.6,0.278,0.202,1
SUB_000003,30,UK,job_seeker,standard,25.28,4,1,26,paypal,7.1,5,73.1,9,2,1,1,79.0,1,15,4,1,0,0,0,5.7,0.58,0.393,0
SUB_000004,24,USA,data_analyst,standard,28.39,10,0,7,paypal,5.7,4,64.3,9,3,1,3,36.1,1,19,9,1,1,0,0,6.5,0.35,0.174,1
SUB_000005,34,India,job_seeker,basic,10.33,18,0,3,debit_card,5.9,4,52.9,17,4,1,2,33.5,1,3,8,1,0,1,4,46.3,0.178,0.105,1
SUB_000006,22,India,student,standard,20.77,16,0,24,credit_card,5.8,6,75.9,6,7,4,4,59.3,3,19,9,3,1,0,1,36.1,0.42,0.376,0
SUB_000007,34,India,teacher,basic,12.77,18,1,21,debit_card,4.9,5,46.8,10,4,0,5,46.7,0,11,10,1,1,0,3,39.8,0.406,0.304,0
SUB_000008,26,Canada,job_seeker,basic,13.19,7,1,5,debit_card,4.6,7,48.5,13,2,0,2,56.6,0,6,5,3,0,1,1,32.9,0.454,0.304,0
SUB_000009,40,USA,software_engineer,basic,11.05,7,0,19,paypal,3.7,5,56.2,9,1,1,0,31.8,0,4,4,0,0,0,0,2.1,0.577,0.431,1
SUB_000010,40,UK,data_analyst,standard,27.44,6,1,23,paypal,6.8,4,28.6,16,3,1,2,45.8,1,8,1,1,0,0,0,4.9,0.499,0.276,0
SUB_000011,24,India,student,standard,26.45,30,1,20,credit_card,8.1,4,29.3,11,2,1,1,20.5,0,7,4,2,0,0,2,44.0,0.233,0.133,0
SUB_000012,38,Brazil,teacher,premium,58.46,8,1,27,paypal,5.3,1,39.1,12,5,1,4,79.6,0,22,5,6,0,0,2,19.4,0.621,0.359,0
SUB_000013,32,Canada,marketing,basic,10.83,13,1,16,bank_transfer,8.7,4,43.5,19,3,2,1,49.3,2,11,6,3,1,0,1,4.3,0.631,0.396,0
SUB_000014,38,India,finance,standard,27.5,2,1,22,debit_card,0.6,3,27.9,20,4,1,4,30.5,0,7,9,3,0,0,0,1.0,0.132,0.0,1
SUB_000015,31,India,software_engineer,standard,20.83,1,1,23,paypal,7.0,1,67.2,12,3,0,3,26.0,0,12,2,1,1,0,1,16.1,0.405,0.191,0
SUB_000016,34,India,software_engineer,standard,25.64,4,1,21,credit_card,10.1,4,38.3,21,2,1,2,44.2,0,9,2,0,0,1,1,24.2,0.29,0.187,0
SUB_000017,22,Germany,student,premium,51.03,22,1,6,credit_card,9.2,7,30.5,5,5,1,5,52.5,1,21,8,2,0,1,3,51.7,0.216,0.193,0
SUB_000018,30,USA,software_engineer,basic,11.93,13,0,11,paypal,6.3,5,26.4,8,3,1,2,41.9,1,5,7,1,0,0,0,6.1,0.742,0.589,0
SUB_000019,28,Germany,designer,basic,14.21,32,1,22,debit_card,4.0,6,52.8,7,4,1,4,74.1,1,23,6,3,0,1,1,31.8,0.159,0.16,0
